si_no,ba_name,oa_name,sdca_name,bts_type,tower_type,bts_name,rp_id,site_type,sites_having_acs,acs_count,make,ac_capacity,status_of_ac,ac_pm_cm,free_cooling_available,site_load_gt_10kw,remarks,is_completed
1,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Dvdla_Gangaram_WL5152,WL5152,,,,,,,,,,,false
2,WARANGAL,WARANGAL OA,Eturnagaram,IP_INDUS,,Chunchpaly_INDUS_WL5096,WL5096,,,,,,,,,,,false
3,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Narsimhasagar_WL5046,WL5046,,,,,,,,,,,false
4,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Komatipally_WL5045,WL5045,,,,,,,,,,,false
5,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Thupakulaudem_WL5153,WL5153,,,,,,,,,,,false
6,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Narlapur_WL2252,WL2252,,,,,,,,,,,false
7,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Medaram_EM _WL2251,WL2251,,,,,,,,,,,false
8,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Ramannagudem_WL5044,WL5044,,,,,,,,,,,false
9,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Tadvai_HW_WL2045,WL2045,,,,,,,,,,,false
10,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Rajupeta_WL2104,WL2104,,,,,,,,,,,false
11,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Chinnaboinpalli_WL2255,WL2255,,,,,,,,,,,false
12,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Mangapeta_WL2034,WL2034,,,,,,,,,,,false
13,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,ROHEER_WL5043,WL5043,,,,,,,,,,,false
14,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Kamalapur_CSC_WL5003,WL5003,,,,,,,,,,,false
15,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Eturunagaram_WL2025,WL2025,,,,,,,,,,,false
16,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Katapur_WL2166,WL2166,,,,,,,,,,,false
17,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Beerelli_WL5042(Saturation),WL5042,,,,,,,,,,,false
18,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Eturunagaram_BS_WL2228,WL2228,,,,,,,,,,,false
19,WARANGAL,WARANGAL OA,Eturnagaram,NBSNL,,Kannaigudem_WL2236,WL2236,,,,,,,,,,,false
20,WARANGAL,WARANGAL OA,Mulugu,IP_INDUS,,GandhiNgr_INDU_WL5028,WL5028,,,,,,,,,,,false
21,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Laxmidevipeta_WL2175,WL2175,,,,,,,,,,,false
22,WARANGAL,WARANGAL OA,Mulugu,IP_INDUS,,Buddaram_INDUS_WL5068,WL5068,,,,,,,,,,,false
23,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Rainigudem_WL5141,WL5141,,,,,,,,,,,false
24,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Ramchandrapura_WL2211,WL2211,,,,,,,,,,,false
25,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,MDRM_Jakaram_WL2274,WL2274,,,,,,,,,,,false
26,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Dharmaraopet_WL2149,WL2149,,,,,,,,,,,false
27,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Pathepalle_WL2237,WL2237,,,,,,,,,,,false
28,WARANGAL,WARANGAL OA,Mulugu,IP_ITIL,,Pallampet_ITIL_WL5181,WL5181,,,,,,,,,,,false
29,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Narsapuram_WL2193,WL2193,,,,,,,,,,,false
30,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,AdaviRangapur_WL5126,WL5126,,,,,,,,,,,false
31,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Venkatapur_WL_WL2093,WL2093,,,,,,,,,,,false
32,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Mulugu_Ghanpur_WL2067,WL2067,,,,,,,,,,,false
33,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Jangalpalli_WL5117,WL5117,,,,,,,,,,,false
34,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Vengilapur_WL5140,WL5140,,,,,,,,,,,false
35,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,ProjectNagar_WL5118(Saturation),WL5118,,,,,,,,,,,false
36,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Mallampalli_WL2257,WL2257,,,,,,,,,,,false
37,WARANGAL,WARANGAL OA,Mulugu,IP_INDUS,,Karlapalle_INDUS_WL5038,WL5038,,,,,,,,,,,false
38,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Chalvai_WL_WL2062,WL2062,,,,,,,,,,,false
39,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,GovindaraoPet_WL5031,WL5031,,,,,,,,,,,false
40,WARANGAL,WARANGAL OA,Mulugu,NBSNL,,Mulugu-TE_WL2035,WL2035,,,,,,,,,,,false
41,WARANGAL,WARANGAL OA,Mulugu,BSNL,,Pasara_WL2041,WL2041,,,,,,,,,,,false
42,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Appalraopet_WL5050,WL5050,,,,,,,,,,,false
43,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Peddakorpole_WL2238,WL2238,,,,,,,,,,,false
44,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Papaiahpeta_WL2200,WL2200,,,,,,,,,,,false
45,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Gurajala_WL5033,WL5033,,,,,,,,,,,false
46,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Gundenga_WL5059,WL5059,,,,,,,,,,,false
47,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Nachinapally_WL5062,WL5062,,,,,,,,,,,false
48,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Ameenabad_WL2137,WL2137,,,,,,,,,,,false
49,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Chandrugonda_WL5052,WL5052,,,,,,,,,,,false
50,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Upparapalle_WL2221,WL2221,,,,,,,,,,,false
51,WARANGAL,WARANGAL OA,Narsampet,NBSNL,,Maheswaram_WL5027,WL5027,,,,,,,,,,,false
52,WARANGAL,WARANGAL OA,Narsampet,IP_GTL,,Banzipet_GTL_WL5074,WL5074,,,,,,,,,,,false
